match_id,season,match_date,started,minute_on,minute_off,match_minutes,messi_minutes
69175,2006/2007,2007-03-31,1,,84.2,94.25,84.2
68318,2005/2006,2005-10-22,1,,,93.05,93.05
68322,2005/2006,2005-12-17,1,,81.85,92.4,81.85
69164,2005/2006,2005-10-26,0,61.58,,94.25,32.67
68324,2005/2006,2006-01-22,0,72.72,,94.12,21.4
68348,2005/2006,2006-01-07,1,,77.77,94.75,77.77
68320,2005/2006,2005-12-04,1,,79.95,93.97,79.95
69172,2005/2006,2006-02-18,0,75.7,,89.65,13.95
68339,2005/2006,2005-11-06,0,68.5,,93.12,24.62
68351,2005/2006,2006-02-25,1,,69.4,93.53,69.4
68327,2006/2007,2006-09-09,1,,,92.27,92.27
68354,2005/2006,2005-11-27,1,,66.68,92.15,66.68
68325,2005/2006,2006-01-29,0,73.22,,90.3,17.08
68342,2005/2006,2006-01-15,1,,82.83,93.27,82.83
68319,2005/2006,2005-11-19,1,,69.55,91.08,69.55
68314,2004/2005,2004-12-04,0,81.87,,90.72,8.85
68321,2005/2006,2005-12-11,1,,62.38,93.57,62.38
68317,2005/2006,2005-10-01,0,66.32,,93.95,27.63
68353,2004/2005,2004-10-16,0,81.32,,92.23,10.92
68350,2005/2006,2006-02-05,1,,45.0,94.2,45.0
68316,2004/2005,2005-05-01,0,87.48,,92.87,5.38
68313,2004/2005,2004-10-24,0,72.45,,93.42,20.97
69153,2004/2005,2004-12-11,0,96.25,,97.38,1.13
68352,2004/2005,2005-04-17,0,85.83,,94.17,8.33
68315,2004/2005,2004-12-21,0,57.73,,93.98,36.25
